====== Start Time ======
2021-08-20-16:08:57-CST

phc2sys[330775.422]: clock set to insert leap second at midnight (UTC)
phc2sys[330902.439]: CLOCK_REALTIME phc offset         4 s2 freq   -2479 delay   1248
phc2sys[330903.439]: CLOCK_REALTIME phc offset         1 s2 freq   -2480 delay   1242
phc2sys[330904.439]: CLOCK_REALTIME phc offset        -5 s2 freq   -2486 delay   1248
phc2sys[330905.439]: CLOCK_REALTIME phc offset        -8 s2 freq   -2491 delay   1248
phc2sys[330906.439]: CLOCK_REALTIME phc offset         8 s2 freq   -2477 delay   1255
phc2sys[330907.440]: CLOCK_REALTIME phc offset         0 s2 freq   -2483 delay   1248
phc2sys[330908.440]: CLOCK_REALTIME phc offset        -8 s2 freq   -2491 delay   1244
phc2sys[330909.440]: CLOCK_REALTIME phc offset         4 s2 freq   -2481 delay   1242
phc2sys[330910.440]: CLOCK_REALTIME phc offset         4 s2 freq   -2480 delay   1252
phc2sys[330911.440]: CLOCK_REALTIME phc offset       -16 s2 freq   -2499 delay   1271
phc2sys[330912.440]: CLOCK_REALTIME phc offset        10 s2 freq   -2477 delay   1252
phc2sys[330913.440]: CLOCK_REALTIME phc offset         0 s2 freq   -2484 delay   1250
phc2sys[330914.441]: CLOCK_REALTIME phc offset       -14 s2 freq   -2498 delay   1280
phc2sys[330915.441]: CLOCK_REALTIME phc offset        26 s2 freq   -2463 delay   1250
phc2sys[330916.441]: CLOCK_REALTIME phc offset       -11 s2 freq   -2492 delay   1243
phc2sys[330917.441]: CLOCK_REALTIME phc offset       -16 s2 freq   -2500 delay   1270
phc2sys[330918.441]: CLOCK_REALTIME phc offset        16 s2 freq   -2473 delay   1266
phc2sys[330919.441]: CLOCK_REALTIME phc offset       -11 s2 freq   -2495 delay   1278
phc2sys[330920.441]: CLOCK_REALTIME phc offset        -1 s2 freq   -2488 delay   1245
phc2sys[330921.441]: CLOCK_REALTIME phc offset         9 s2 freq   -2479 delay   1257
phc2sys[330922.441]: CLOCK_REALTIME phc offset         1 s2 freq   -2484 delay   1254
phc2sys[330923.442]: CLOCK_REALTIME phc offset        -1 s2 freq   -2486 delay   1270
phc2sys[330924.442]: CLOCK_REALTIME phc offset        -3 s2 freq   -2488 delay   1243
phc2sys[330925.442]: CLOCK_REALTIME phc offset         1 s2 freq   -2485 delay   1244
phc2sys[330926.442]: CLOCK_REALTIME phc offset        -5 s2 freq   -2491 delay   1242
phc2sys[330927.442]: CLOCK_REALTIME phc offset         9 s2 freq   -2478 delay   1238
phc2sys[330928.442]: CLOCK_REALTIME phc offset         7 s2 freq   -2477 delay   1245
phc2sys[330929.442]: CLOCK_REALTIME phc offset         5 s2 freq   -2477 delay   1239
phc2sys[330930.176]: CLOCK_REALTIME phc offset        -6 s2 freq   -2487 delay   1241
====== Start Time ======
2021-08-20-16:11:59-CST

phc2sys[330957.638]: clock set to insert leap second at midnight (UTC)
phc2sys[330957.639]: CLOCK_REALTIME phc offset        68 s0 freq   -2486 delay   1240
phc2sys[330958.639]: CLOCK_REALTIME phc offset        64 s2 freq   -2490 delay   1272
phc2sys[330959.639]: CLOCK_REALTIME phc offset        84 s2 freq   -2406 delay   1246
phc2sys[330960.322]: CLOCK_REALTIME phc offset        27 s2 freq   -2438 delay   1248
====== Start Time ======
2021-08-20-16:16:32-CST

phc2sys[331230.861]: clock set to insert leap second at midnight (UTC)
phc2sys[331230.861]: CLOCK_REALTIME phc offset    -11625 s0 freq   -2437 delay   1241
